credit_appl,account_balance,duration_credit_month,payment_status,purpose,credit_amount,value_savings_stocks,length_current_employment,installment_per_cent,Most_valuable_asset_available,age_years,type_of_apartment,num_credits_at_bank
Non-creditworthy,Some Balance,9,Paid Up,Home Related,745,None,< 1yr,3,1,28,2,1
Creditworthy,Some Balance,9,No problems,Home Related,936,100 - 1000,4 - 7yrs,4,3,52,2,More than 1
Non-creditworthy,No Account,9,Paid Up,Used Car,959,None,< 1yr,1,3,29,2,1
Creditworthy,No Account,9,No problems,Home Related,1138,None,< 1yr,4,1,25,2,More than 1
Creditworthy,No Account,9,No problems,Home Related,1154,None,4 - 7yrs,2,1,37,2,More than 1
Creditworthy,No Account,9,Paid Up,Other,1199,None,1 - 4yrs,4,2,33,2,More than 1
Creditworthy,No Account,9,Paid Up,Home Related,1199,None,1 - 4yrs,4,2,67,2,More than 1
Creditworthy,Some Balance,9,No problems,Home Related,1224,None,< 1yr,3,1,30,2,More than 1
Creditworthy,Some Balance,9,No problems,Home Related,1244,100 - 1000,4 - 7yrs,4,2,41,1,More than 1
Non-creditworthy,Some Balance,9,some problems,Home Related,1337,None,< 1yr,4,3,34,2,More than 1
Creditworthy,No Account,9,Paid Up,Home Related,1364,None,1 - 4yrs,3,1,59,2,1
Creditworthy,Some Balance,9,Paid Up,Used Car,1388,None,< 1yr,4,1,26,1,1
Creditworthy,No Account,9,Paid Up,Home Related,1391,None,< 1yr,2,1,27,2,1
Non-creditworthy,No Account,9,some problems,Home Related,1437,< 100,1 - 4yrs,2,4,29,2,1
Creditworthy,Some Balance,9,Paid Up,Home Related,1449,None,1 - 4yrs,3,3,27,2,More than 1
Non-creditworthy,No Account,9,No problems,Home Related,1501,None,4 - 7yrs,2,3,34,2,More than 1
Creditworthy,No Account,9,Paid Up,Other,1549,100 - 1000,< 1yr,4,1,33,2,1
Creditworthy,No Account,9,Paid Up,Home Related,1549,100 - 1000,< 1yr,4,1,35,2,1
Non-creditworthy,No Account,9,Paid Up,Home Related,1670,None,< 1yr,4,3,22,2,1
Creditworthy,No Account,9,No problems,Used Car,1919,None,1 - 4yrs,4,3,35,1,1
Creditworthy,No Account,9,Paid Up,Used Car,2030,100 - 1000,1 - 4yrs,2,3,24,2,1
Creditworthy,Some Balance,9,No problems,Home Related,2134,None,< 1yr,4,3,48,2,More than 1
Creditworthy,Some Balance,9,No problems,Used Car,2406,None,< 1yr,2,3,31,2,1
Creditworthy,Some Balance,9,Paid Up,Home Related,2697,None,< 1yr,1,1,32,2,1
Creditworthy,No Account,9,Paid Up,Home Related,3195,100 - 1000,< 1yr,1,1,33,2,1
Non-creditworthy,No Account,9,some problems,New Car,5129,None,4 - 7yrs,2,4,74,3,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1225,None,< 1yr,2,3,37,2,1
Non-creditworthy,Some Balance,10,Paid Up,Home Related,1240,< 100,4 - 7yrs,1,4,48,3,1
Creditworthy,Some Balance,10,Paid Up,Used Car,1275,None,< 1yr,4,2,23,2,1
Non-creditworthy,Some Balance,10,Paid Up,Home Related,1309,100 - 1000,< 1yr,4,2,27,2,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1364,None,< 1yr,2,3,64,2,1
Creditworthy,Some Balance,10,Paid Up,Home Related,1546,None,< 1yr,3,1,31,2,1
Creditworthy,No Account,10,No problems,Home Related,2241,None,< 1yr,1,1,48,1,More than 1
Creditworthy,No Account,10,Paid Up,Home Related,2315,None,4 - 7yrs,3,1,52,2,1
Creditworthy,Some Balance,10,Paid Up,New Car,2901,100 - 1000,< 1yr,1,1,31,1,1
Creditworthy,Some Balance,10,Paid Up,Home Related,3949,None,< 1yr,1,2,37,2,1
Creditworthy,No Account,10,Paid Up,Home Related,7308,None,< 1yr,2,4,70,3,1
Creditworthy,Some Balance,11,No problems,Home Related,1154,< 100,< 1yr,4,1,57,2,More than 1
Creditworthy,No Account,11,No problems,Home Related,1322,100 - 1000,< 1yr,4,3,40,2,More than 1
Creditworthy,No Account,11,Paid Up,Used Car,1577,100 - 1000,< 1yr,4,1,20,2,1
Creditworthy,Some Balance,11,Paid Up,Home Related,2142,100 - 1000,4 - 7yrs,1,1,28,2,1
Creditworthy,No Account,11,No problems,Home Related,3939,None,< 1yr,1,1,40,2,More than 1
Creditworthy,No Account,12,some problems,Home Related,339,None,4 - 7yrs,4,3,45,2,1
Creditworthy,No Account,12,No problems,Home Related,385,None,1 - 4yrs,4,1,58,2,More than 1
Creditworthy,No Account,12,No problems,Home Related,585,None,< 1yr,4,1,20,1,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,625,None,< 1yr,4,1,26,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,639,None,< 1yr,4,3,30,2,1
Creditworthy,No Account,12,Paid Up,Used Car,652,None,4 - 7yrs,4,2,24,1,1
Non-creditworthy,No Account,12,Paid Up,Home Related,674,< 100,1 - 4yrs,4,2,20,2,1
Creditworthy,Some Balance,12,No problems,Home Related,682,< 100,1 - 4yrs,4,3,51,2,More than 1
Non-creditworthy,No Account,12,some problems,Home Related,697,None,< 1yr,4,3,46,2,More than 1
Creditworthy,Some Balance,12,No problems,Home Related,701,None,< 1yr,4,3,32,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,701,None,< 1yr,4,1,40,2,1
Creditworthy,No Account,12,Paid Up,Used Car,708,None,< 1yr,2,2,38,2,1
Creditworthy,Some Balance,12,No problems,Home Related,717,None,4 - 7yrs,4,1,52,2,More than 1
Non-creditworthy,Some Balance,12,Paid Up,Home Related,719,None,4 - 7yrs,4,3,41,2,1
Creditworthy,No Account,12,Paid Up,Home Related,754,100 - 1000,4 - 7yrs,4,2,38,2,More than 1
Non-creditworthy,No Account,12,Paid Up,Home Related,759,None,1 - 4yrs,4,1,26,2,1
Creditworthy,Some Balance,12,Paid Up,Used Car,763,None,< 1yr,4,1,26,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,766,100 - 1000,< 1yr,4,1,66,2,1
Non-creditworthy,Some Balance,12,No problems,Other,797,100 - 1000,4 - 7yrs,4,2,33,2,1
Non-creditworthy,Some Balance,12,No problems,Home Related,797,100 - 1000,4 - 7yrs,4,2,33,2,1
Creditworthy,No Account,12,Paid Up,Home Related,841,< 100,1 - 4yrs,2,1,23,1,1
Creditworthy,Some Balance,12,Paid Up,Home Related,886,100 - 1000,< 1yr,4,3,21,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,888,None,4 - 7yrs,4,3,41,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,900,100 - 1000,< 1yr,4,3,23,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,902,None,1 - 4yrs,4,2,21,1,1
Creditworthy,Some Balance,12,No problems,Home Related,926,None,< 1yr,1,2,38,2,1
Creditworthy,Some Balance,12,No problems,Other,930,100 - 1000,4 - 7yrs,4,1,33,2,More than 1
Creditworthy,Some Balance,12,No problems,Home Related,930,100 - 1000,4 - 7yrs,4,1,65,2,More than 1
Creditworthy,No Account,12,No problems,Home Related,958,None,1 - 4yrs,2,1,47,2,More than 1
Creditworthy,No Account,12,Paid Up,Used Car,983,100 - 1000,< 1yr,1,1,19,1,1
Creditworthy,Some Balance,12,No problems,Home Related,996,100 - 1000,1 - 4yrs,4,1,23,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,1037,< 100,1 - 4yrs,3,1,39,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1103,None,1 - 4yrs,4,1,29,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,1107,None,< 1yr,2,1,20,1,1
Non-creditworthy,No Account,12,some problems,Home Related,1108,None,1 - 4yrs,4,1,28,2,More than 1
Non-creditworthy,Some Balance,12,Paid Up,Used Car,1123,100 - 1000,< 1yr,4,3,29,1,1
Creditworthy,No Account,12,Paid Up,Home Related,1158,100 - 1000,< 1yr,3,3,26,2,1
Creditworthy,Some Balance,12,No problems,Home Related,1185,None,< 1yr,3,1,27,2,More than 1
Creditworthy,No Account,12,Paid Up,Home Related,1200,100 - 1000,< 1yr,4,2,23,1,1
Non-creditworthy,No Account,12,Paid Up,Home Related,1223,None,4 - 7yrs,1,1,46,1,More than 1
Non-creditworthy,No Account,12,Paid Up,Home Related,1228,None,< 1yr,4,1,24,2,1
Creditworthy,Some Balance,12,No problems,Home Related,1240,100 - 1000,4 - 7yrs,4,1,38,2,More than 1
Creditworthy,Some Balance,12,No problems,Used Car,1258,None,< 1yr,2,2,22,1,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,1262,None,< 1yr,3,3,25,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,1274,None,< 1yr,3,1,37,2,1
Creditworthy,No Account,12,Paid Up,Used Car,1289,None,< 1yr,4,2,21,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1318,100 - 1000,4 - 7yrs,4,1,54,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1330,None,< 1yr,4,1,26,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,1331,None,< 1yr,2,3,22,2,1
Non-creditworthy,Some Balance,12,Paid Up,Home Related,1386,100 - 1000,< 1yr,2,2,26,2,1
Creditworthy,Some Balance,12,No problems,Other,1402,100 - 1000,1 - 4yrs,3,3,33,1,1
Creditworthy,Some Balance,12,No problems,Used Car,1402,100 - 1000,1 - 4yrs,3,3,37,1,1
Creditworthy,No Account,12,No problems,New Car,1409,None,4 - 7yrs,4,1,54,2,1
Creditworthy,No Account,12,No problems,Home Related,1424,None,1 - 4yrs,4,2,26,2,1
Creditworthy,Some Balance,12,Paid Up,Used Car,1424,100 - 1000,4 - 7yrs,3,1,55,2,1
Creditworthy,Some Balance,12,Paid Up,Used Car,1474,None,< 1yr,4,2,33,2,1
Non-creditworthy,No Account,12,Paid Up,Home Related,1484,100 - 1000,< 1yr,2,1,25,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,1493,None,< 1yr,4,3,34,2,1
Creditworthy,Some Balance,12,No problems,New Car,1503,None,< 1yr,4,1,41,1,1
Creditworthy,No Account,12,No problems,New Car,1526,None,4 - 7yrs,4,4,66,3,More than 1
Non-creditworthy,Some Balance,12,No problems,Home Related,1555,100 - 1000,4 - 7yrs,4,4,55,3,More than 1
Creditworthy,No Account,12,Paid Up,Used Car,1620,None,< 1yr,2,2,30,2,1
Creditworthy,Some Balance,12,Paid Up,Other,1736,None,1 - 4yrs,3,1,33,2,1
Creditworthy,Some Balance,12,Paid Up,Used Car,1736,None,1 - 4yrs,3,1,31,2,1
Creditworthy,No Account,12,Paid Up,Used Car,1858,None,< 1yr,4,3,22,1,1
Creditworthy,No Account,12,No problems,New Car,1860,None,< 1yr,4,3,34,2,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,1884,None,4 - 7yrs,4,3,39,2,1
Creditworthy,No Account,12,Paid Up,Home Related,1893,None,< 1yr,4,2,29,2,1
Creditworthy,No Account,12,No problems,Home Related,1995,< 100,< 1yr,4,3,27,2,1
Creditworthy,No Account,12,Paid Up,Home Related,2002,None,1 - 4yrs,3,2,30,1,1
Creditworthy,Some Balance,12,No problems,Home Related,2012,100 - 1000,1 - 4yrs,4,3,61,2,1
Creditworthy,No Account,12,No problems,Home Related,2121,None,< 1yr,4,2,30,2,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,2141,< 100,1 - 4yrs,3,4,35,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,2171,None,< 1yr,2,3,29,2,1
Creditworthy,No Account,12,No problems,Home Related,2171,None,< 1yr,4,2,38,2,More than 1
Non-creditworthy,No Account,12,No problems,Used Car,2246,None,4 - 7yrs,3,2,60,2,More than 1
Creditworthy,Some Balance,12,No problems,Home Related,2247,None,< 1yr,2,3,36,2,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,2279,100 - 1000,< 1yr,4,4,37,3,1
Non-creditworthy,Some Balance,12,No problems,Home Related,2292,None,< 1yr,4,3,42,2,More than 1
Creditworthy,No Account,12,Paid Up,Used Car,2577,None,< 1yr,2,3,42,2,1
Creditworthy,Some Balance,12,No problems,Home Related,2748,None,4 - 7yrs,2,4,57,3,More than 1
Creditworthy,Some Balance,12,Paid Up,Home Related,2859,100 - 1000,< 1yr,4,4,38,2,1
Creditworthy,No Account,12,Paid Up,Home Related,2930,None,1 - 4yrs,2,1,27,2,1
Creditworthy,No Account,12,Paid Up,Other,3017,None,< 1yr,3,1,33,1,1
Creditworthy,No Account,12,Paid Up,Used Car,3017,None,< 1yr,3,1,34,1,1
Creditworthy,No Account,12,No problems,Home Related,3124,None,< 1yr,1,1,49,2,More than 1
Creditworthy,Some Balance,12,No problems,Used Car,3331,None,4 - 7yrs,2,2,42,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,3399,100 - 1000,4 - 7yrs,2,3,37,2,1
Creditworthy,Some Balance,12,Paid Up,Home Related,3527,100 - 1000,< 1yr,2,2,45,2,1
Creditworthy,Some Balance,12,No problems,Used Car,5801,100 - 1000,4 - 7yrs,2,2,49,1,1
Non-creditworthy,No Account,12,Paid Up,Home Related,6468,100 - 1000,< 1yr,2,4,52,2,1
Creditworthy,No Account,12,Paid Up,Home Related,7472,100 - 1000,< 1yr,1,1,24,1,1
Creditworthy,Some Balance,13,Paid Up,Home Related,1409,< 100,< 1yr,2,1,64,2,1
Creditworthy,No Account,14,Paid Up,Home Related,1410,100 - 1000,4 - 7yrs,1,1,35,2,1
Non-creditworthy,No Account,14,Paid Up,Home Related,8978,None,4 - 7yrs,1,2,45,2,1
Non-creditworthy,No Account,15,some problems,Home Related,950,None,4 - 7yrs,4,3,33,1,More than 1
Creditworthy,Some Balance,15,No problems,Used Car,960,100 - 1000,1 - 4yrs,3,2,30,2,More than 1
Creditworthy,No Account,15,No problems,Used Car,975,None,< 1yr,2,2,25,2,More than 1
Creditworthy,Some Balance,15,Paid Up,New Car,1300,100 - 1000,4 - 7yrs,4,4,45,3,1
Creditworthy,No Account,15,Paid Up,Home Related,1308,None,4 - 7yrs,4,3,38,2,More than 1
Creditworthy,Some Balance,15,No problems,Home Related,1360,None,< 1yr,4,2,31,2,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,1386,100 - 1000,< 1yr,4,1,40,1,1
Creditworthy,Some Balance,15,No problems,Home Related,1471,None,< 1yr,4,4,35,3,More than 1
Non-creditworthy,No Account,15,No problems,Home Related,1512,100 - 1000,< 1yr,3,2,61,2,More than 1
Creditworthy,Some Balance,15,No problems,Used Car,1520,100 - 1000,4 - 7yrs,4,2,63,2,1
Non-creditworthy,No Account,15,some problems,Home Related,1778,None,< 1yr,2,1,26,1,More than 1
Creditworthy,Some Balance,15,No problems,Home Related,1829,None,4 - 7yrs,4,3,46,2,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,1905,None,4 - 7yrs,4,3,40,1,1
Creditworthy,Some Balance,15,Paid Up,Used Car,2221,100 - 1000,< 1yr,2,3,20,1,1
Creditworthy,No Account,15,No problems,Home Related,2326,100 - 1000,< 1yr,2,3,27,2,1
Non-creditworthy,Some Balance,15,Paid Up,Home Related,2327,None,< 1yr,2,1,25,2,1
Creditworthy,No Account,15,Paid Up,Home Related,2511,None,< 1yr,1,3,23,1,1
Non-creditworthy,No Account,15,Paid Up,Home Related,2631,< 100,< 1yr,2,3,28,1,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,2687,None,1 - 4yrs,2,2,26,1,1
Creditworthy,Some Balance,15,No problems,Used Car,2788,None,1 - 4yrs,2,3,24,2,More than 1
Creditworthy,Some Balance,15,Paid Up,Home Related,3186,100 - 1000,1 - 4yrs,2,3,20,1,1
Creditworthy,Some Balance,15,No problems,Used Car,3343,None,< 1yr,4,4,28,3,1
Creditworthy,Some Balance,15,No problems,New Car,3594,None,< 1yr,1,2,46,2,More than 1
Creditworthy,Some Balance,15,Paid Up,New Car,4657,None,< 1yr,3,3,30,2,1
Non-creditworthy,No Account,16,No problems,Home Related,2625,None,4 - 7yrs,2,2,43,1,1
Creditworthy,No Account,18,Paid Up,Home Related,866,None,< 1yr,4,1,25,2,1
Creditworthy,Some Balance,18,No problems,Home Related,1028,None,< 1yr,4,1,36,2,More than 1
Creditworthy,No Account,18,No problems,Used Car,1049,None,< 1yr,4,2,21,1,1
Creditworthy,Some Balance,18,No problems,Home Related,1055,None,< 1yr,4,2,30,2,More than 1
Creditworthy,Some Balance,18,No problems,Home Related,1098,None,< 1yr,4,3,65,2,More than 1
Creditworthy,Some Balance,18,No problems,Home Related,1149,100 - 1000,< 1yr,4,1,46,2,More than 1
Non-creditworthy,No Account,18,Paid Up,Home Related,1216,None,< 1yr,4,3,23,1,1
Non-creditworthy,No Account,18,Paid Up,Home Related,1217,None,< 1yr,4,1,47,2,1
Creditworthy,No Account,18,Paid Up,Home Related,1301,None,4 - 7yrs,4,1,32,2,1
Non-creditworthy,No Account,18,Paid Up,Home Related,1345,None,< 1yr,4,1,26,2,1
Non-creditworthy,No Account,18,some problems,Home Related,1442,None,1 - 4yrs,4,4,32,3,More than 1
Creditworthy,Some Balance,18,Paid Up,Home Related,1453,None,< 1yr,3,1,26,2,1
Creditworthy,Some Balance,18,Paid Up,Home Related,1473,None,< 1yr,3,1,39,2,1
Non-creditworthy,Some Balance,18,Paid Up,Used Car,1533,None,< 1yr,4,2,43,2,1
Non-creditworthy,No Account,18,some problems,Used Car,1553,None,< 1yr,4,3,44,2,1
Creditworthy,Some Balance,18,No problems,Home Related,1582,100 - 1000,4 - 7yrs,4,3,46,2,More than 1
Creditworthy,No Account,18,No problems,Home Related,1795,None,4 - 7yrs,3,1,48,1,More than 1
Creditworthy,Some Balance,18,No problems,Home Related,1800,None,< 1yr,4,3,24,2,More than 1
Non-creditworthy,Some Balance,18,No problems,Home Related,1864,< 100,< 1yr,4,1,30,2,More than 1
Non-creditworthy,No Account,18,No problems,Used Car,1928,None,< 1yr,2,1,31,2,More than 1
Creditworthy,No Account,18,Paid Up,Home Related,1936,100 - 1000,1 - 4yrs,2,3,23,1,More than 1
Creditworthy,Some Balance,18,Paid Up,Home Related,1961,None,4 - 7yrs,3,3,23,2,1
Creditworthy,Some Balance,18,Paid Up,Used Car,1984,None,< 1yr,4,4,47,3,More than 1
Non-creditworthy,No Account,18,Paid Up,Used Car,2039,None,< 1yr,1,1,20,1,1
Non-creditworthy,Some Balance,18,Paid Up,Home Related,2100,None,< 1yr,4,1,37,2,1
Non-creditworthy,Some Balance,18,No problems,Home Related,2169,None,< 1yr,4,3,28,2,1
Creditworthy,Some Balance,18,No problems,Home Related,2238,None,< 1yr,2,3,25,2,More than 1
Creditworthy,No Account,18,Paid Up,Home Related,2249,< 100,1 - 4yrs,4,3,30,2,1
Creditworthy,Some Balance,18,No problems,Home Related,2404,None,< 1yr,2,3,26,2,More than 1
Creditworthy,Some Balance,18,Paid Up,Used Car,2515,None,< 1yr,3,1,43,2,1
Creditworthy,No Account,18,Paid Up,Home Related,2622,< 100,< 1yr,4,3,34,2,1
Non-creditworthy,Some Balance,18,No problems,Home Related,2775,None,1 - 4yrs,2,2,31,2,More than 1
Non-creditworthy,Some Balance,18,Paid Up,Used Car,2864,None,< 1yr,2,1,34,2,1
Creditworthy,No Account,18,No problems,Home Related,2899,100 - 1000,4 - 7yrs,4,3,43,2,1
Creditworthy,No Account,18,Paid Up,Home Related,3213,100 - 1000,< 1yr,1,1,25,1,1
Creditworthy,No Account,18,No problems,Home Related,3590,None,< 1yr,3,3,40,2,More than 1
Creditworthy,No Account,18,No problems,Used Car,3612,None,4 - 7yrs,3,2,37,2,1
Creditworthy,No Account,18,Paid Up,Used Car,3650,None,< 1yr,1,3,22,1,1
Creditworthy,Some Balance,18,No problems,New Car,3850,None,1 - 4yrs,3,3,27,2,More than 1
Non-creditworthy,No Account,18,No problems,Used Car,4297,None,4 - 7yrs,4,4,40,2,1
Creditworthy,No Account,18,Paid Up,Home Related,4380,< 100,< 1yr,3,3,35,2,1
Creditworthy,No Account,18,Paid Up,Home Related,4439,None,4 - 7yrs,1,1,33,2,1
Creditworthy,Some Balance,18,Paid Up,Home Related,4594,None,< 1yr,3,3,32,2,1
Creditworthy,No Account,18,No problems,Used Car,7374,None,< 1yr,4,2,40,2,More than 1
Non-creditworthy,No Account,18,Paid Up,New Car,7511,100 - 1000,4 - 7yrs,1,2,51,3,1
Creditworthy,No Account,20,Paid Up,Used Car,2212,100 - 1000,1 - 4yrs,4,3,39,2,1
Non-creditworthy,No Account,20,No problems,Other,2235,None,< 1yr,4,2,33,1,More than 1
Non-creditworthy,No Account,20,No problems,Home Related,2235,None,< 1yr,4,2,33,1,More than 1
Creditworthy,Some Balance,20,No problems,Home Related,3485,100 - 1000,< 1yr,2,1,44,2,More than 1
Creditworthy,No Account,21,No problems,Home Related,571,None,4 - 7yrs,4,1,65,2,More than 1
Non-creditworthy,No Account,21,Paid Up,Home Related,1188,None,4 - 7yrs,2,2,39,2,1
Creditworthy,Some Balance,21,Paid Up,Used Car,2241,None,4 - 7yrs,4,1,50,2,More than 1
Creditworthy,Some Balance,21,No problems,Used Car,2288,None,< 1yr,4,2,23,2,1
Non-creditworthy,Some Balance,21,No problems,Home Related,2580,100 - 1000,< 1yr,4,1,41,2,1
Creditworthy,No Account,21,No problems,Used Car,2745,100 - 1000,1 - 4yrs,3,3,32,2,More than 1
Creditworthy,Some Balance,21,Paid Up,Home Related,2782,100 - 1000,1 - 4yrs,1,3,31,2,1
Creditworthy,Some Balance,21,Paid Up,Home Related,3160,100 - 1000,4 - 7yrs,4,2,41,2,1
Creditworthy,Some Balance,21,No problems,New Car,3275,None,4 - 7yrs,1,3,36,2,1
Creditworthy,No Account,21,Paid Up,Home Related,3357,100 - 1000,< 1yr,4,3,29,2,1
Creditworthy,No Account,21,Paid Up,Used Car,3599,None,1 - 4yrs,1,3,26,1,1
Creditworthy,No Account,21,Paid Up,Used Car,3976,100 - 1000,1 - 4yrs,2,3,35,2,1
Non-creditworthy,Some Balance,21,No problems,Home Related,12680,100 - 1000,4 - 7yrs,4,4,30,3,1
Creditworthy,Some Balance,22,Paid Up,Home Related,1283,100 - 1000,1 - 4yrs,4,2,25,1,1
Creditworthy,Some Balance,24,No problems,Home Related,717,100 - 1000,4 - 7yrs,4,3,54,2,More than 1
Creditworthy,Some Balance,24,Paid Up,Used Car,929,100 - 1000,1 - 4yrs,4,3,31,2,1
Creditworthy,Some Balance,24,Paid Up,Home Related,937,None,< 1yr,4,3,27,2,More than 1
Non-creditworthy,Some Balance,24,Paid Up,Home Related,947,None,1 - 4yrs,4,4,38,3,1
Creditworthy,Some Balance,24,Paid Up,Home Related,999,100 - 1000,4 - 7yrs,4,3,25,2,More than 1
Non-creditworthy,No Account,24,some problems,Home Related,1193,None,< 1yr,1,4,29,1,More than 1
Creditworthy,No Account,24,Paid Up,Home Related,1201,None,< 1yr,4,2,26,2,1
Creditworthy,No Account,24,No problems,Home Related,1231,100 - 1000,4 - 7yrs,4,2,57,1,More than 1
