credit_appl,account_balance,duration_credit_month,payment_status,purpose,credit_amount,value_savings_stocks,length_current_employment,installment_per_cent,Most_valuable_asset_available,age_years,type_of_apartment,num_credits_at_bank
1,1,18,1,0,1028,0,0,4,1,36,2,2
1,0,18,1,1,1049,0,0,4,2,21,1,1
1,1,18,1,0,1055,0,0,4,2,30,2,2
1,1,18,1,0,1098,0,0,4,3,65,2,2
1,1,18,1,0,1149,2,0,4,1,46,2,2
0,0,18,0,0,1216,0,0,4,3,23,1,1
0,0,18,0,0,1217,0,0,4,1,47,2,1
1,0,18,0,0,1301,0,2,4,1,32,2,1
0,0,18,0,0,1345,0,0,4,1,26,2,1
0,0,18,2,0,1442,0,1,4,4,32,3,2
1,1,18,0,0,1453,0,0,3,1,26,2,1
1,1,18,0,0,1473,0,0,3,1,39,2,1
0,1,18,0,1,1533,0,0,4,2,43,2,1
0,0,18,2,1,1553,0,0,4,3,44,2,1
1,1,18,1,0,1582,2,2,4,3,46,2,2
1,0,18,1,0,1795,0,2,3,1,48,1,2
1,1,18,1,0,1800,0,0,4,3,24,2,2
0,1,18,1,0,1864,1,0,4,1,30,2,2
0,0,18,1,1,1928,0,0,2,1,31,2,2
1,0,18,0,0,1936,2,1,2,3,23,1,2
1,1,18,0,0,1961,0,2,3,3,23,2,1
1,1,18,0,1,1984,0,0,4,4,47,3,2
0,0,18,0,1,2039,0,0,1,1,20,1,1
0,1,18,0,0,2100,0,0,4,1,37,2,1
0,1,18,1,0,2169,0,0,4,3,28,2,1
1,1,18,1,0,2238,0,0,2,3,25,2,2
1,0,18,0,0,2249,1,1,4,3,30,2,1
1,1,18,1,0,2404,0,0,2,3,26,2,2
1,1,18,0,1,2515,0,0,3,1,43,2,1
1,0,18,0,0,2622,1,0,4,3,34,2,1
0,1,18,1,0,2775,0,1,2,2,31,2,2
0,1,18,0,1,2864,0,0,2,1,34,2,1
1,0,18,1,0,2899,2,2,4,3,43,2,1
1,0,18,0,0,3213,2,0,1,1,25,1,1
1,0,18,1,0,3590,0,0,3,3,40,2,2
1,0,18,1,1,3612,0,2,3,2,37,2,1
1,0,18,0,1,3650,0,0,1,3,22,1,1
1,1,18,1,2,3850,0,1,3,3,27,2,2
0,0,18,1,1,4297,0,2,4,4,40,2,1
1,0,18,0,0,4380,1,0,3,3,35,2,1
1,0,18,0,0,4439,0,2,1,1,33,2,1
1,1,18,0,0,4594,0,0,3,3,32,2,1
1,0,18,1,1,7374,0,0,4,2,40,2,2
0,0,18,0,2,7511,2,2,1,2,51,3,1
1,0,20,0,1,2212,2,1,4,3,39,2,1
0,0,20,1,3,2235,0,0,4,2,33,1,2
0,0,20,1,0,2235,0,0,4,2,33,1,2
1,1,20,1,0,3485,2,0,2,1,44,2,2
1,0,21,1,0,571,0,2,4,1,65,2,2
0,0,21,0,0,1188,0,2,2,2,39,2,1
1,1,21,0,1,2241,0,2,4,1,50,2,2
1,1,21,1,1,2288,0,0,4,2,23,2,1
0,1,21,1,0,2580,2,0,4,1,41,2,1
1,0,21,1,1,2745,2,1,3,3,32,2,2
1,1,21,0,0,2782,2,1,1,3,31,2,1
1,1,21,0,0,3160,2,2,4,2,41,2,1
1,1,21,1,2,3275,0,2,1,3,36,2,1
1,0,21,0,0,3357,2,0,4,3,29,2,1
1,0,21,0,1,3599,0,1,1,3,26,1,1
1,0,21,0,1,3976,2,1,2,3,35,2,1
0,1,21,1,0,12680,2,2,4,4,30,3,1
1,1,22,0,0,1283,2,1,4,2,25,1,1
1,1,24,1,0,717,2,2,4,3,54,2,2
1,1,24,0,1,929,2,1,4,3,31,2,1
1,1,24,0,0,937,0,0,4,3,27,2,2
0,1,24,0,0,947,0,1,4,4,38,3,1
1,1,24,0,0,999,2,2,4,3,25,2,2
0,0,24,2,0,1193,0,0,1,4,29,1,2
1,0,24,0,0,1201,0,0,4,2,26,2,1
1,0,24,1,0,1231,2,2,4,2,57,1,2
0,0,24,0,0,1246,0,0,4,1,23,2,1
1,1,24,0,0,1249,0,0,4,1,28,2,1
1,1,24,0,0,1258,0,1,4,1,25,2,1
1,1,24,0,0,1258,2,0,3,3,57,2,1
1,1,24,1,0,1275,2,0,2,1,36,2,2
1,1,24,0,0,1278,0,2,4,1,36,2,1
1,1,24,1,0,1287,2,2,4,1,37,2,2
1,1,24,0,0,1311,1,1,4,2,26,2,1
0,1,24,1,0,1344,2,1,4,1,37,2,2
0,0,24,0,0,1355,0,0,3,3,25,2,1
0,0,24,2,0,1358,2,2,4,3,40,2,1
0,0,24,0,0,1371,2,0,4,1,25,1,1
1,1,24,0,0,1376,2,1,4,3,28,2,1
1,1,24,0,0,1377,1,2,4,4,47,3,1
1,0,24,1,0,1382,1,1,4,1,26,2,2
1,1,24,0,0,1393,0,0,2,1,31,2,1
1,1,24,0,0,1413,0,0,4,2,28,2,1
0,0,24,0,0,1442,0,1,4,3,23,1,2
1,1,24,0,0,1469,1,2,4,1,41,1,1
1,1,24,1,0,1516,2,0,4,1,43,2,2
0,0,24,2,0,1546,0,1,4,3,24,1,1
1,1,24,0,0,1552,0,1,3,3,32,2,1
1,0,24,1,0,1553,1,1,3,2,23,1,2
1,1,24,1,0,1597,0,2,4,4,54,3,2
1,0,24,1,0,1743,0,2,4,2,48,2,2
1,0,24,0,1,1747,0,0,4,2,24,2,1
0,0,24,2,0,1837,0,1,4,4,34,3,1
1,1,24,1,0,1851,0,1,4,3,33,2,2
1,1,24,0,0,1901,1,0,4,3,29,1,1
1,1,24,0,1,1925,0,0,2,1,26,2,1
1,1,24,1,0,1927,2,0,3,3,33,2,2
0,0,24,1,0,1935,0,2,4,1,31,2,2
1,1,24,1,0,1940,2,2,4,1,60,2,1
1,0,24,1,0,1965,2,0,4,3,42,1,2
1,0,24,0,0,1967,0,2,4,3,20,2,1
1,1,24,1,0,2022,0,0,4,3,37,2,1
1,1,24,1,1,2028,0,1,2,2,30,2,2
0,0,24,1,1,2064,0,0,3,2,34,2,1
1,1,24,1,2,2197,2,1,4,3,43,2,2
1,0,24,2,0,2325,1,1,2,3,32,2,1
1,1,24,1,2,2346,0,1,4,3,35,2,2
1,0,24,0,3,2384,0,2,4,1,33,1,1
1,0,24,0,0,2384,0,2,4,1,64,1,1
0,0,24,0,0,2439,0,0,4,1,35,2,1
1,1,24,1,0,2463,1,1,4,2,27,2,2
1,1,24,1,0,2578,2,2,2,3,34,2,1
1,1,24,0,2,2670,0,2,4,3,35,2,1
1,1,24,0,2,2679,0,0,4,4,29,2,1
1,1,24,1,0,2684,0,0,4,1,35,2,2
1,0,24,1,0,2825,2,1,4,4,34,2,2
1,0,24,2,1,2828,2,0,4,1,22,2,1
1,1,24,0,1,2835,2,2,3,2,53,2,1
1,1,24,1,0,2872,1,2,3,1,36,2,1
1,1,24,0,1,2892,0,2,3,4,51,3,1
1,0,24,0,0,2896,1,0,2,3,29,2,1
1,0,24,0,2,2910,0,1,2,4,34,3,1
1,1,24,1,0,2978,2,0,4,1,32,2,2
1,0,24,0,1,3021,0,0,2,1,24,1,1
0,0,24,0,0,3092,1,0,3,3,22,1,1
1,1,24,0,0,3105,2,0,4,3,25,2,2
0,0,24,2,0,3161,0,0,4,2,31,1,1
1,1,24,0,0,3235,2,2,3,3,36,2,1
0,0,24,2,1,3349,2,0,4,4,30,3,1
1,1,24,0,0,3430,2,2,3,3,31,2,1
0,0,24,2,1,3552,0,1,3,3,27,2,1
1,1,24,1,3,3617,2,2,4,4,33,1,2
1,1,24,1,1,3617,2,2,4,4,20,1,2
1,0,24,2,2,3632,0,0,1,3,22,1,1
1,1,24,0,1,3749,0,0,2,3,26,2,1
1,1,24,0,0,3757,0,2,4,4,62,3,1
1,1,24,1,2,3868,0,2,4,3,41,1,2
1,0,24,0,1,4020,0,0,2,3,27,2,1
1,1,24,1,2,4042,2,1,3,2,43,2,2
0,0,24,0,2,4113,2,0,3,3,28,1,1
1,1,24,1,0,4139,1,0,3,2,27,2,2
1,1,24,1,1,4151,1,0,2,2,35,2,2
0,0,24,2,0,4241,0,0,1,1,36,2,2
1,0,24,0,1,4351,2,0,1,2,48,2,1
1,1,24,1,0,4526,0,0,3,1,74,2,1
0,1,24,0,0,4591,2,0,2,2,54,2,2
0,0,24,1,1,4736,0,0,2,3,25,2,1
0,0,24,0,0,4817,0,1,2,2,31,2,1
0,0,24,1,0,4870,0,0,3,4,53,3,2
1,1,24,1,3,5103,0,0,3,4,33,3,2
1,1,24,1,0,5103,0,0,3,4,47,3,2
1,1,24,0,2,5433,2,0,2,2,26,1,1
1,1,24,1,0,5507,0,2,3,4,44,3,2
1,1,24,0,1,5511,1,0,4,3,25,2,1
1,0,24,1,0,5743,0,0,2,4,24,3,2
1,1,24,1,2,5804,2,0,4,1,27,2,2
0,1,24,0,0,5943,2,0,1,3,44,2,2
1,0,24,1,0,6403,0,0,1,3,33,2,1
1,0,24,1,2,6419,0,2,2,4,44,3,2
1,0,24,1,2,6615,0,0,2,4,75,3,2
1,0,24,1,0,6967,1,1,4,3,36,1,1
1,1,24,0,0,7393,0,0,1,2,43,2,1
0,1,24,1,0,8648,0,0,2,3,27,2,2
1,1,24,0,2,9277,2,0,2,4,48,3,1
0,0,24,1,0,11938,0,0,2,3,39,2,2
0,0,24,0,2,12579,0,2,4,4,44,3,1
1,0,26,0,2,7966,0,0,2,3,30,2,2
0,0,27,1,0,2520,2,0,4,2,23,2,2
0,1,27,0,0,2570,0,0,3,1,21,1,1
1,1,27,1,0,5117,0,1,3,3,26,2,2
1,0,27,1,2,5965,0,2,1,3,30,2,2
1,1,27,1,2,8613,2,0,2,3,27,2,2
1,1,28,1,0,2743,0,2,4,3,29,2,2
0,0,28,0,0,4006,0,0,3,3,45,2,1
1,1,28,2,2,7824,2,0,3,1,40,1,2
1,1,30,0,3,1867,2,2,4,3,33,2,1
1,1,30,0,0,1867,2,2,4,3,58,2,1
0,1,30,1,0,1908,0,2,4,1,66,2,1
0,0,30,1,0,1919,1,0,4,4,30,2,2
0,0,30,0,0,2150,0,0,4,4,24,2,1
1,0,30,1,0,2181,2,2,4,1,36,2,2
1,1,30,0,0,2333,2,2,4,3,30,2,1
1,0,30,0,0,2522,0,2,1,2,39,2,1
1,0,30,0,0,2991,2,2,2,3,25,2,1
1,1,30,1,0,3017,0,2,4,2,47,2,1
1,1,30,1,0,3077,2,2,3,3,40,2,2
1,1,30,1,0,3656,2,2,4,2,49,2,2
1,0,30,2,0,4221,0,0,2,3,28,2,2
0,0,30,1,0,4249,0,0,4,3,28,2,2
1,1,30,1,0,4272,1,0,2,2,26,2,2
0,0,30,2,0,4280,1,0,4,3,26,1,2
1,1,30,0,2,4811,2,1,2,2,24,1,1
1,0,30,1,2,6187,1,1,1,3,24,1,2
1,1,33,1,0,2764,0,0,2,3,26,2,2
0,0,33,1,1,4281,2,0,1,3,23,2,2
1,1,33,1,2,7253,0,1,3,3,35,2,2
1,1,36,0,0,909,2,2,4,2,36,2,1
0,0,36,0,0,1842,0,0,4,3,34,2,1
0,0,36,1,0,2145,0,1,2,3,24,2,2
0,0,36,1,0,2225,0,2,4,4,57,3,2
1,0,36,0,0,2273,0,1,3,3,32,2,2
1,1,36,0,0,2299,2,2,4,3,39,2,1
1,0,36,0,0,2323,0,1,4,3,24,1,1
1,0,36,1,1,2348,0,0,3,2,46,2,2
1,1,36,0,0,2394,2,0,4,3,25,2,1
1,1,36,2,0,2613,0,0,4,3,27,2,2
0,0,36,0,0,2671,1,0,4,4,50,3,1
0,0,36,2,1,2746,0,2,4,3,31,2,1
0,0,36,1,0,2820,0,0,4,3,27,2,2
1,0,36,1,0,2862,1,2,4,4,30,3,1
1,1,36,0,0,3079,2,0,4,1,36,2,1
1,1,36,1,0,3535,0,1,4,3,37,2,2
1,1,36,0,0,3595,0,2,4,3,28,2,1
1,0,36,0,1,3620,0,0,1,2,37,2,1
1,0,36,0,0,3711,2,0,2,3,27,2,1
0,0,36,2,0,3804,0,0,4,3,42,2,1
0,1,36,0,0,4210,0,0,4,3,26,2,1
1,1,36,1,0,4454,0,0,4,1,34,2,2
0,0,36,1,0,4455,0,0,2,1,30,2,2
1,1,36,0,0,4473,0,2,4,3,31,2,1
0,0,36,0,1,5179,0,1,4,2,29,2,1
1,1,36,0,0,5848,0,0,4,3,24,2,1
0,0,36,1,0,6887,0,0,4,2,29,2,1
1,0,36,0,2,6948,0,0,2,3,35,1,1
1,0,36,1,0,7432,0,0,2,2,54,1,1
0,1,36,1,0,7855,0,0,4,1,25,2,2
0,1,36,1,0,7980,2,0,4,3,27,1,2
0,0,36,1,0,8065,0,0,3,4,25,2,2
1,1,36,0,2,8133,0,0,1,2,30,2,1
0,0,36,0,2,8229,0,0,2,2,26,2,1
0,0,36,0,1,9034,1,0,4,4,29,1,1
0,0,36,0,2,9398,0,0,1,3,28,1,1
1,1,36,1,0,9566,0,0,2,3,31,2,2
1,1,36,1,2,10477,2,2,2,4,42,3,2
0,0,36,0,0,12612,1,0,1,4,47,3,1
0,0,36,0,3,14318,0,2,4,4,57,3,1
0,0,36,0,0,14318,0,2,4,4,57,3,1
1,1,39,0,2,2569,2,0,4,3,24,2,1
1,1,39,0,2,8588,1,2,4,3,45,2,1
1,0,39,1,0,11760,1,1,2,4,32,1,1
0,0,40,1,0,5998,0,0,4,4,27,2,1
0,0,42,0,0,3965,0,0,4,3,34,2,1
1,1,42,1,1,4041,2,0,4,1,36,2,2
1,0,42,1,0,5954,0,1,2,1,41,2,2
1,1,42,0,0,7166,2,1,2,2,29,1,1
0,0,42,0,0,7174,2,1,4,3,30,2,1
0,0,45,0,0,1845,0,0,4,4,23,3,1
0,0,45,0,0,3031,1,0,4,2,21,1,1
1,0,45,1,2,4576,1,0,3,3,27,2,1
0,0,45,2,0,11816,0,2,2,3,29,1,2
1,0,47,0,0,10722,0,0,1,1,35,2,1
1,1,48,1,2,2751,2,2,4,3,38,2,2
0,0,48,0,0,3060,0,1,4,1,28,2,2
1,0,48,2,0,3566,1,1,4,3,30,2,1
1,1,48,1,0,3578,2,2,4,1,47,2,1
1,1,48,2,0,3609,0,0,1,1,27,2,1
0,0,48,0,0,3931,0,1,4,4,46,3,1
0,0,48,0,0,4308,0,0,3,2,24,1,1
1,0,48,0,2,4788,0,1,4,2,26,2,1
0,1,48,0,0,4844,0,0,3,3,33,1,1
0,0,48,1,1,5096,0,0,2,3,30,2,1
0,0,48,0,0,5951,0,0,2,1,22,2,1
1,1,48,1,0,6110,0,0,1,4,31,3,1
0,0,48,1,2,6143,0,2,4,4,58,3,2
0,0,48,1,0,6224,0,2,4,4,50,3,1
1,0,48,1,0,6681,2,0,4,4,38,3,1
0,0,48,0,0,6758,0,0,3,3,31,2,1
0,0,48,2,1,7119,0,0,3,4,53,3,2
1,1,48,1,0,7238,2,2,3,3,32,2,2
1,0,48,0,0,7476,0,1,4,4,50,3,1
1,0,48,1,0,7582,1,0,2,4,31,2,1
0,0,48,2,0,7685,0,1,2,3,37,1,1
1,1,48,1,2,8858,2,1,2,4,35,3,2
0,0,48,0,1,9960,0,0,1,3,26,2,1
1,0,48,2,0,12169,2,0,4,4,36,3,1
1,0,48,2,0,12204,2,0,2,3,48,2,1
0,0,48,0,0,15672,0,0,2,3,23,2,1
0,0,48,2,0,18424,0,0,1,2,32,2,1
0,0,60,0,0,6288,0,0,4,4,42,3,1
1,1,60,0,0,6527,2,0,4,4,34,3,1
0,0,60,1,0,6836,0,2,3,4,63,2,2
1,0,60,1,3,7418,2,0,1,1,33,2,1
1,0,60,1,0,7418,2,0,1,1,27,2,1
1,0,60,1,0,9157,2,0,2,4,27,3,1
1,1,60,1,0,13756,2,2,2,4,63,3,1
0,0,60,0,0,14027,0,1,4,4,27,2,1
